,country,Code_x,year,mortality,increase_mort,Code_y,smoke_prev,increse_smoke,CO,CO_mean,uplift_CO,O3,O3_mean,uplift_O3,PM,PM_mean,uplift_PM,Family,Freedom,Generosity,Region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Trust (Government Corruption),Dystopia Residual
521,Myanmar,MMR,2016,123.9,-1.5499999999999972,,,,0.332353932,0.2984121455,0.022422138000000036,0.0476145066849159,0.047959030834703924,-0.00011852064442799404,3.36013e-08,2.9775150000000002e-08,3.885500000000002e-09,0.69981,0.42692,0.81971,Southeastern Asia,4.395,0.34112,0.3988,0.20243,1.50655
522,Myanmar,MMR,2017,120.58,-3.3200000000000074,,,,0.271632343,0.2984121455,-0.06072158900000002,0.0472863229513732,0.047959030834703924,-0.00032818373354270153,2.70935e-08,2.9775150000000002e-08,-6.5078e-09,1.12323594093323,0.514492034912109,0.838075160980225,,4.54500007629395,0.367110550403595,0.397522568702698,0.188816204667091,1.11529040336609
523,Myanmar,MMR,2018,117.25,-3.3299999999999983,MMR,45.09999847412109,-3.7000007629394602,0.279730513,0.2984121455,0.008098170000000016,0.0492022663731827,0.047959030834703924,0.0019159434218095003,2.869e-08,2.9775150000000002e-08,1.5965000000000004e-09,,0.58,0.598,,4.308,0.682,0.429,0.178,
524,Namibia,NAM,2015,68.12,,NAM,17.100000381469727,,0.149544946,0.1448681765,,0.0488597545819704,0.04813674022417867,,1.38465e-08,1.3874275e-08,,,,,,,,,,
525,Namibia,NAM,2016,67.3,-0.8200000000000074,,,,0.144080059,0.1448681765,-0.005464887000000002,0.0476774802206771,0.04813674022417867,-0.0011822743612932979,1.40304e-08,1.3874275e-08,1.839000000000014e-10,0.70362,0.48614,0.07795,Sub-Saharan Africa,4.574,0.93287,0.34745,0.10398,1.92198
526,Namibia,NAM,2017,66.39,-0.9099999999999966,,,,0.142886276,0.1448681765,-0.0011937830000000038,0.0482860455147797,0.04813674022417867,0.0006085652941025949,1.44128e-08,1.3874275e-08,3.8239999999999984e-10,1.0984708070755,0.520303547382355,0.0771337449550629,,4.57399988174438,0.964434325695038,0.33861181139946,0.0931469723582268,1.4818902015686
527,Namibia,NAM,2018,65.39,-1.0,NAM,15.5,-1.6000003814697266,0.142961425,0.1448681765,7.514899999999658e-05,0.0477236805792875,0.04813674022417867,-0.0005623649354922003,1.32074e-08,1.3874275e-08,-1.2054e-09,,0.519,0.051,,4.441,0.874,0.365,0.064,
528,Nauru,NRU,2015,109.99,,NRU,51.79999923706055,,0.05632945,0.0559697685,,0.0387767101068399,0.038964960803497074,,4.36176e-09,4.7235275e-09,,,,,,,,,,
529,Nauru,NRU,2016,106.25,-3.739999999999995,,,,0.059391689,0.0559697685,0.0030622389999999944,0.0385641792234047,0.038964960803497074,-0.0002125308834351955,4.53002e-09,4.7235275e-09,1.6825999999999958e-10,,,,,,,,,
530,Nauru,NRU,2017,103.28,-2.969999999999999,,,,0.055232721,0.0559697685,-0.004158967999999999,0.0381976510439075,0.038964960803497074,-0.00036652817949719974,4.9214e-09,4.7235275e-09,3.9138000000000036e-10,,,,,,,,,
531,Nauru,NRU,2018,100.71,-2.5700000000000074,NRU,49.20000076293945,-2.5999984741210938,0.052925214,0.0559697685,-0.0023075070000000003,0.0403213028398362,0.038964960803497074,0.002123651795928695,5.08093e-09,4.7235275e-09,1.5953000000000017e-10,,,,,,,,,
532,Nepal,NPL,2015,234.4,,NPL,36.0,,0.831657796,0.87247653175,,0.059447024177405,0.0598250158657692,,8.53938e-08,8.7986725e-08,,0.86449,0.38282,0.32296,Southern Asia,4.514,0.35997,0.56874,0.05907,1.95637
533,Nepal,NPL,2016,233.97,-0.4300000000000068,,,,0.912018292,0.87247653175,0.08036049599999995,0.0593256622797071,0.0598250158657692,-0.00012136189769790251,8.94305e-08,8.7986725e-08,4.036699999999995e-09,0.69699,0.37012,0.3816,Southern Asia,4.793,0.44626,0.50073,0.07008,2.32694
534,Nepal,NPL,2017,233.3,-0.6699999999999875,,,,0.846572751,0.87247653175,-0.065445541,0.059661577006001,0.0598250158657692,0.0003359147262938997,8.48075e-08,8.7986725e-08,-4.623000000000001e-09,1.17928326129913,0.440305948257446,0.394096165895462,,4.96199989318848,0.479820191860199,0.504130780696869,0.0729755461215973,1.8912410736084
535,Nepal,NPL,2018,232.53,-0.7700000000000102,NPL,31.5,-4.5,0.899657288,0.87247653175,0.05308453700000004,0.0608657999999637,0.0598250158657692,0.0012042229939627017,9.23151e-08,8.7986725e-08,7.507599999999995e-09,,0.526,0.302,,4.88,0.425,0.539,0.078,
536,Netherlands,NLD,2015,28.86,,NLD,24.600000381469727,,0.15931296,0.1539563,,0.0497184046215828,0.050339054757965025,,1.29984e-08,1.2341725e-08,,1.28017,0.61576,0.4761,Western Europe,7.378,1.32944,0.89284,0.31814,2.4657
537,Netherlands,NLD,2016,28.85,-0.00999999999999801,,,,0.157993271,0.1539563,-0.0013196890000000128,0.0473731437701913,0.050339054757965025,-0.0023452608513915008,1.28653e-08,1.2341725e-08,-1.331000000000007e-10,1.02912,0.55211,0.47416,Western Europe,7.339,1.46468,0.81231,0.29927,2.70749
538,Netherlands,NLD,2017,28.77,-0.08000000000000185,,,,0.151855176,0.1539563,-0.006138094999999982,0.0516973585228511,0.050339054757965025,0.004324214752659802,1.21672e-08,1.2341725e-08,-6.980999999999995e-10,1.42893922328949,0.585384488105774,0.470489829778671,,7.3769998550415,1.50394463539124,0.810696125030518,0.282661825418472,2.29480409622192
539,Netherlands,NLD,2018,28.69,-0.0799999999999983,NLD,22.600000381469727,-2.0,0.146663793,0.1539563,-0.005191383000000022,0.0525673121172349,0.050339054757965025,0.0008699535943837988,1.1336e-08,1.2341725e-08,-8.312000000000002e-10,,0.638,0.333,,7.441,1.361,0.878,0.295,
540,New Zealand,NZL,2015,28.11,,NZL,16.5,,0.062502676,0.06169515825,,0.0452990523051868,0.046317012048921524,,5.96174e-09,5.4555025e-09,,1.31967,0.63938,0.47501,Australia and New Zealand,7.286,1.25018,0.90837,0.42922,2.26425
541,New Zealand,NZL,2016,27.63,-0.4800000000000004,,,,0.062980534,0.06169515825,0.00047785800000001155,0.0446882056899095,0.046317012048921524,-0.0006108466152772996,5.71494e-09,5.4555025e-09,-2.467999999999996e-10,1.17278,0.58147,0.49401,Australia and New Zealand,7.334,1.36066,0.83096,0.41904,2.47553
