country,mortality,increase_mort,smoke_prev,increse_smoke,CO,uplift_CO,O3,uplift_O3,Economy (GDP per Capita)
Chile,27.4,-0.23500000000000032,31.40000057220459,-1.0000006357828763,0.40230712025000004,0.005273219499999995,0.0507278716501329,0.0010738575931658993,1.176908652448655
China,72.7875,-1.9775000000000027,25.800000190734863,-0.06666628519694129,0.6939877452500001,-0.0026778897499999954,0.0524191108841274,0.0007698167470187242,0.997021447639465
Colombia,32.3825,-0.17749999999999844,9.349999904632567,-0.3666664759318028,0.19893756299999998,-0.0017952890000000055,0.03782830586708598,0.0005506600149809502,0.994888081235885
Comoros,40.21,-0.5733333333333329,22.149999618530273,-1.3500003814697266,0.084476934,-0.002077838999999998,0.049119900073099104,0.0002527289230806011,0.25707500000000005
Costa Rica,27.302500000000002,0.30500000000000055,9.800000190734863,-0.46666653951009057,0.1226666725,0.0001667547500000012,0.04686863379147808,0.0004975117174174995,1.036069070653915
Cote d'Ivoire,41.62,-0.5399999999999991,9.699999809265137,-1.4000005722045916,0.198707613,-0.00915706899999999,0.046797347140799,0.0005024392732710034,0.5046820792222023
Croatia,20.4125,-0.46499999999999986,36.39999961853027,0.20000076293945546,0.187192534,-0.005973721250000001,0.05487904868388305,0.0006770729089973261,1.1516465583515174
Cuba,24.29,-0.1700000000000017,18.700000762939453,-3.299999237060547,0.098492301,-0.004122079000000001,0.0593973463912242,0.0002647752460144051,1.199323036474228
Cyprus,34.552499999999995,-0.9375,35.95000076293945,-0.30000050862630206,0.1307352095,-0.0025509955,0.06837394765939135,0.0010234318252105232,1.2779095192432401
Denmark,36.79,-0.22499999999999964,19.600000381469727,-1.0,0.131938765,-0.0010001712500000012,0.05559619388318395,0.0005622614983460256,1.4001607531929026
Dominican Republic,23.435000000000002,-0.35249999999999915,11.549999713897705,-0.4333333969116217,0.132577557,-0.0005520367499999984,0.05257878144844655,0.0005305487426231006,0.9961534591293325
Ecuador,31.2175,-0.07249999999999979,12.200000286102295,-0.3999999364217117,0.17974906925,-0.0015684247499999984,0.04138213905287973,0.00046181070681704933,0.9317250995826725
Egypt,45.9425,-0.7974999999999994,24.34999942779541,0.03333346048991004,0.3379791105,0.0036482734999999937,0.0622978735517895,0.0010393004685966996,0.927612951874733
El Salvador,23.572499999999998,-0.26750000000000007,8.900000095367432,-0.3999999364217122,0.213934655,-0.000984796250000003,0.052115458043150376,0.000639534582573674,0.838506123957634
Eritrea,50.63,-0.7100000000000009,7.699999809265137,-1.0,0.198002785,-0.0027802510000000114,0.0584524947045626,0.00010263824428080603,0.5002193281440735
Estonia,10.692500000000003,-0.07999999999999963,31.899999618530273,-0.9333330790201823,0.1482462065,-0.0009813055000000015,0.054576248543899725,0.00018337673577710142,1.2380648350429526
Eswatini,66.56,-1.3999999999999915,9.300000190734863,-0.5,0.244889717,0.013254946000000016,0.0475115571157521,-0.00019618827322560173,0.5821191214960416
Ethiopia,39.6875,-0.4449999999999985,5.349999904632568,-0.10000006357828772,0.28809180575,0.0012814010000000015,0.04552247715962157,5.2024379573750376e-05,0.28269846136808396
Fiji,74.25,-0.8100000000000023,23.399999618530277,-1.7000007629394496,0.059583104,-0.0004802419999999988,0.0475637845548587,0.0001749401360756006,0.458257940518856
Finland,14.837499999999999,-0.06499999999999995,23.350000381469727,-0.7666664123535156,0.13248816175,-0.0005343680000000003,0.050815610170927075,-5.150425940925006e-05,1.3612004812908174
France,12.875,-0.10749999999999993,33.64999961853027,-0.033334096272786495,0.16444100125,-0.0040050849999999985,0.0525900999142583,0.0007401538618851747,1.349145865478515
Gabon,38.245000000000005,-0.504999999999999,14.919999980926514,0.0,0.19635081999999998,-0.0017723955000000097,0.0428220393089389,5.080666643025167e-05,1.1783601197052
Gambia,48.89,-0.4299999999999997,11.600000381469728,-1.699999809265135,0.17087555199999999,-0.0020394850000000075,0.0539702527521766,0.000257376481038199,0.7796106079988483
Georgia,19.552500000000002,0.037499999999999645,31.850000381469727,-0.099999745686849,0.13659206525,-0.0017070439999999978,0.05321010116700023,0.00030343436833792613,0.8458581660556792
Germany,21.407500000000002,-0.19750000000000068,23.699999809265137,-0.7999998728434257,0.1663804675,-0.003764061249999999,0.05122196196206893,0.0007079580843181756,1.4009283459281925
Ghana,44.332499999999996,-0.6549999999999994,3.8999998569488525,-0.19999996821085608,0.25887372075,-0.0019848230000000036,0.0480597284436414,0.00012953585303197498,0.6089687061071395
Greece,20.105000000000004,-0.08749999999999941,36.20000076293945,-1.1333338419596355,0.1512151705,-0.003537987499999999,0.05991020958217627,0.0005598539834069504,1.2116018702793125
Guatemala,27.4475,-0.08749999999999941,11.300000190734862,-0.20000012715657606,0.23733330074999998,-0.0017329767499999968,0.046371442737308574,0.00046861260482562554,0.8082679864931107
Guinea,55.735,-0.9849999999999994,6.75999994277954,0.0,0.3313864735,-0.010023325999999997,0.05045707241995155,-7.792222596695106e-05,0.23434996504783656
Guinea-Bissau,60.14,-1.259999999999998,9.300000190734863,-1.3999996185302734,0.184210102,0.0056301369999999795,0.0526514481615089,6.042280638290237e-05,0.5564091431506475
Guyana,21.76,-0.18999999999999773,12.600000381469728,-2.5,0.088442929,-0.0016671009999999903,0.0491359302260822,0.004864484259366704,1.3350831026744845
